date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:21	532/532	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:25%20GMT	http://icit2015.ximb.ac.in/home/GIFT.jpg?attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/home/GIFT.3c6fb5.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:21	3123/3123	---M--	200	added ('OK')	image/jpeg	etag:%221450154718267%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/silicon.jpg?attachauth=ANoY7crRMAutguguU1H9ge6zZHacjX7wffiwP_7JpouuGdMP70Rkq4pbXssOXkaP_TCJByPSrjaI4jtN2cj1MhfEqWc-HOZx6JyqzFs2rQYBHw39TGIjWHcQwacT0DJR63-S-6-nQuasXtRvDEh0lm1tDkVkuiynCobHCP9x9QjyY7L61m4tNgGVCLGlS48TlZry-3hy7kbqHTS6E21ixAs4YGgkouQpYA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/silicon5f75.jpg	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:21	533/533	---M-Z	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2022%20Jan%202016%2016:29:25%20GMT	http://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/GIFT.jpg?attachauth=ANoY7cp0obPxlc1zTMwUSaHGxSTPfZgJxu5Ok7uIPBWN6Z8JkUFPXzweM9GvePwiVknJe6_qLYvB6cpLn1MdMdPkO7m5LKF-mX0-nSWucaFb2c6JBw3UfavukZmPscLNvWPyUAX8VdA24qHMoDRfM6PQGahKTzqVHOe3e5hcTj5hOa7HYkyNTyhus5NciibkiajwTzD6QHwt-y8B0B22D6hqT6SKmtwiCA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/GIFT.3d2d2e.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:22	4293/4293	---M--	200	added ('OK')	image/jpeg	etag:%221450086122324%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/GIFT.jpg?attachauth=ANoY7cp0obPxlc1zTMwUSaHGxSTPfZgJxu5Ok7uIPBWN6Z8JkUFPXzweM9GvePwiVknJe6_qLYvB6cpLn1MdMdPkO7m5LKF-mX0-nSWucaFb2c6JBw3UfavukZmPscLNvWPyUAX8VdA24qHMoDRfM6PQGahKTzqVHOe3e5hcTj5hOa7HYkyNTyhus5NciibkiajwTzD6QHwt-y8B0B22D6hqT6SKmtwiCA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/GIFT2d2e.jpg	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:23	26924/26924	---MCZ	200	added ('OK')	text/html	etag:%221452595358000|#public|0|en|||0%22	http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/system/app/pages/recentChanges4c30.html	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:23	26368/26368	---M--	200	added ('OK')	image/png	etag:%221450511037286%22	https://0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/tatlogo.png?attachauth=ANoY7coSH957KqSwkYaYRFF07qhy-C5x1H27ncA7vP-CO59ZQ1Ul6EMbVoTspkCIHMYuhQc6etk3k9Tr0ua1SCtANyzExKbd2xH3Zy_NXW0J2V7RMvkJOvMBUeSrBTtqPkOa-m7EW4EOIEvOgkCgPojanZh8OEef2apJl4XgW72Vt8J9SxQMTGj-cota_asEPvS6dAndB5AKvUtMRfJRgkgzd3Sd-PjQOA%3D%3D&attredirects=0	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/0dc929f0-a-43d69170-s-sites.googlegroups.com/a/ximb.ac.in/icit2015/home/tatlogo02a0.png	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges)
10:29:23	11715/11715	---MC-	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2016:29:27%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/camelot/dashboard.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/camelot/dashboard.css	(from http://icit2015.ximb.ac.in/system/app/pages/reportAbuse)
10:29:24	1021/1021	---MC-	200	added ('OK')	text/css	date:Fri,%2022%20Jan%202016%2016:29:28%20GMT	http://icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/camelot/error.css	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/_/rsrc/1452595358000/system/app/css/camelot/error.css	(from http://icit2015.ximb.ac.in/system/app/pages/reportAbuse)
10:30:00	1011013/1011013	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Jan%202016%2013:49:44%20GMT	http://www.gstatic.com/sites/p/e66861/system/js/jot_min__en.js	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/www.gstatic.com/sites/p/e66861/system/js/jot_min__en.js	(from http://icit2015.ximb.ac.in/system/app/pages/sitemap/hierarchy)
10:30:00	0/-1	---M--	302	error ('')			http://icit2015.ximb.ac.in/activity.xml	S:/Services/2015/ICIT-2015/ICIT-2015_Website/ICIT-2015/icit2015.ximb.ac.in/activity.42.delayed	(from http://icit2015.ximb.ac.in/system/app/pages/recentChanges?offset=25)
